closeDay1,offerPrice,egc,highTech,age,exchange,year,industryFF12,nUnderwriters,sharesOfferedPerc,investmentReceived,amountOnProspectus,commonEquity,sp2weeksBefore,blueSky,managementFee,bookValue,totalAssets,totalRevenue,netIncome,roa,leverage,vc,pe,prominence,nVCs,nExecutives,priorFinancing,ipoSize,reputationLeadMax,reputationAvg,nPatents
35.5625,14,0,1,5,NASDQ,2000,"Business Equipment -- Computers, Software, and Electronic Equipment",14,30.5,64190,77.5,0.062,1527.45,8000,924417,219.134116,240.974,23.34,-48.811,-0.202557122,0,1,0,1,5,5,64190,68114956,9.001,7.572428571,1
20,18,0,0,8,NASDQ,2006,Finance,4,17.09,70982.05,45,0.063,1257.93,10000,1050000,231.4189794,2190.648,142.89,15.918,0.007266343,0.155445329,0,0,0,6,11,62036,79925000,7.001,4.75075,0
26.15,21,0,0,9,NYSE,2013,Other,8,27.21,615284,247.1,0.094,1492.56,10000,3750588,452.4809925,1104.186,3273.496,116.936,0.105902448,0.273154161,0,1,0,3,15,615284,247058826,9.001,3.6255,77
13.8125,12,0,1,6,NASDQ,1999,"Business Equipment -- Computers, Software, and Electronic Equipment",11,15.86,18682,36,0.434,1358.82,2000,377400,48.11026,60.054,33.042,7.372,0.122756186,0.017134579,1,0,0,6,14,18682,26640000,9.001,7.409818182,3
18.15,12.5,1,1,8,NASDQ,2016,"Healthcare, Medical Equipment, and Drugs",4,17.12,114399.8,50,-0.818,2071.5,10000,1050000,80.6013213,91.323,0.317,-47.743,-0.522792725,0.002419982,1,0,1,14,17,114399.8,50000000,7.501,3.6255,0
14,15,1,0,9,NYSE,2013,Other,4,100,70982.05,116.3,0.708,1615.41,5000,1050000,91.253925,267.32,92.726,-1.941,-0.007260961,0.115778842,0,0,0,6,11,62036,79925000,8.501,2.12525,0
12,12,0,0,41,NYSE,2011,Finance,7,92.02,70982.05,150,0.062,1261.15,10000,1625000,161.1035232,178.833,329.992,-27.167,-0.151912678,0.070790097,0,0,0,6,11,62036,79925000,0,2.714714286,0
9,11,0,0,3,NASDQ,1999,Finance,8,19.93,70982.05,60.5,-0.014,1388.91,10000,880000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,0,1,0,1,6,62036,60500000,8.001,7.438375,0
17,13,0,1,9,NASDQ,2007,"Business Equipment -- Computers, Software, and Electronic Equipment",5,18.73,99999.5,139.1,0.551,1406.82,10000,1050000,111.5873675,218.586,176.51,-25.367,-0.116050433,0,1,0,1,12,14,99999.5,139100000,9.001,8.6012,18
13.1,10,0,0,36,NYSE,2009,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",7,29.75,6378,123,0.062,1079.6,10000,1050000,271.2691142,645.86,264.945,22.989,0.035594401,0.372381011,0,1,0,3,9,6378,123000000,9.001,4.286285714,0
12.8,10,0,1,17,NASDQ,2010,"Business Equipment -- Computers, Software, and Electronic Equipment",5,14.94,12500,112,-0.064,1027.37,15000,1050000,159.1892928,265.064,226.521,13.516,0.050991459,0,1,0,1,4,17,12500,112000000,9.001,4.0006,0
72.9375,32,0,0,7,NASDQ,2000,Other,4,14.26,70982.05,62.9,0.851,1424.97,15000,780750,83.0445922,99.903,63.839,6.874,0.068806743,0,0,0,0,6,11,62036,79925000,9.001,8.501,0
8.5,10,1,1,8,NYSE,2013,Other,4,15.18,203015.3,75,-1.83,1612.52,10000,1050000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,1,0,1,15,5,203015.3,75000000,8.001,5.25075,0
6,6,0,1,17,NASDQ,1997,Telephone and Television Transmission,11,37.22,70982.05,8.7,0.257,844.08,20000,101500,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,0,0,0,6,11,62036,79925000,3.001,4.909818182,0
19,17,0,0,3,NYSE,1996,Finance,3,36.17,70982.05,85,0.072,671.7,75000,1200000,85.0859625,349.17,73.475,27.632,0.079136237,0.652060601,0,0,0,6,11,62036,79925000,8.001,7.584,0
10.3125,9,0,1,13,NASDQ,1997,"Business Equipment -- Computers, Software, and Electronic Equipment",24,45.5,10161,22.5,0.025,802.8,10000,325000,21.831,39.463,47.753,-5.619,-0.142386539,0.192382738,1,0,0,4,10,10161,22500000,8.75,6.489958333,4
14.5,15,0,1,8,NYSE,2007,Other,14,41.01,70982.05,510,0.062,1525.4,1000,1050000,737.99904,1925,859,-85,-0.044155844,0.312207792,0,1,0,2,12,0,510000000,9.001,4.500571429,0
8.125,8,0,0,43,NASDQ,1996,Other,1,26.51,70982.05,8.8,0.353,748.28,15000,1050000,4.80314,13.598,23.434,0.384,0.028239447,0.494705104,0,0,0,6,11,62036,79925000,3.001,3.001,0
19,19,0,0,8,NYSE,2017,Other,9,30.86,70982.05,550,0.364,2348.45,10000,6324919,1890.192744,3330.5,4383.6,389.9,0.117069509,0.132022219,0,0,0,6,11,62036,79925000,9.001,2.944777778,5
25.55,20,0,0,23,NYSE,2006,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",8,32.58,251741,376,-1.648,1223.69,25000,4888000,86.0785325,154.725,73.667,-1.0535,-0.005948719,0.070790097,0,1,1,4,14,251741,376000000,9.001,6.12575,0
45.1875,16,0,1,2,NASDQ,1999,"Business Equipment -- Computers, Software, and Electronic Equipment",11,29.02,31806,66.4,-0.494,1350.45,5000,913000,74.6417155,93.586,19.182,-22.39,-0.239245186,0.095687389,1,0,1,8,9,31806,50352000,9.001,7.046181818,0
19.09,19,1,0,8,NASDQ,2018,Finance,3,33.37,70982.05,64.6,0.104,2888.6,10000,1050000,88.4664792,770.511,48.131,25,0.032446,0,0,0,0,6,11,62036,79925000,7.001,4.667333333,0
16.25,16,0,0,6,NASDQ,2005,Finance,7,20.11,70982.05,27.2,0.055,1233.39,10000,1050000,63.2723485,784.518,43.043,4.541,0.005788267,0.150324148,0,0,0,6,11,62036,79925000,7.001,5.572428571,0
26.6,23,0,0,2,NYSE,2006,Other,5,17.67,400000,209.1,0.33,1260.91,10000,2909088,637.1992998,1918.703,180.08,51.206,0.02668782,0.560667284,0,1,0,1,8,400000,209090700,9.001,5.2006,0
56.625,15,0,1,5,NASDQ,2000,"Business Equipment -- Computers, Software, and Electronic Equipment",15,7.02,14500.1,88.6,0.236,1446,15000,1125180,6.9532372,46.5,81.375,13.07,0.281075269,0.002365591,1,0,1,6,20,14500.1,80370000,9.001,6.3342,7
5,5,0,1,21,NASDQ,1999,"Business Equipment -- Computers, Software, and Electronic Equipment",12,24.81,70982.05,16.5,-0.24,1343.98,10000,264000,36.2459401,60.944,73.386,13.28,0.217904962,0.000426621,0,0,0,6,11,62036,79925000,3.001,3.99725,0
